Dataset,Setting,Seed,Model,Accuracy,Precision,Recall,F1-Score,AUC
Academic,Graph,42,Heuristic-LR,0.9902704485488126,0.9996638655462184,0.9808707124010554,0.9901781255202264,0.9995932241664985
Academic,Graph,42,Heuristic-CN,0.754122691292876,1.0,0.508245382585752,0.6739558276842336,0.9920767094701373
Academic,Graph,42,Heuristic-Jaccard,0.9615765171503958,1.0,0.9231530343007915,0.9600411593208712,0.992079537701631
Academic,Graph,42,Heuristic-AdamicAdar,0.7864445910290238,1.0,0.5728891820580475,0.7284546026420633,0.9920813325408483
Academic,Graph,42,Heuristic-PrefAttach,0.754122691292876,1.0,0.508245382585752,0.6739558276842336,0.8616709256932212
Academic,Graph,42,DeepWalk+LR,0.9902704485488126,0.9917300694674165,0.9887862796833773,0.9902559867877787,0.9954110856231856
Academic,Graph,42,Node2Vec+LR,0.9886213720316622,0.9881383855024711,0.9891160949868074,0.988626998516565,0.9951210831169374
Academic,Graph,43,Heuristic-LR,0.9904353562005277,1.0,0.9808707124010554,0.9903429903429903,0.9993167645379801
Academic,Graph,43,Heuristic-CN,0.7655013192612137,1.0,0.5310026385224275,0.6936665230504093,0.9925791556728232
Academic,Graph,43,Heuristic-Jaccard,0.9612467018469657,1.0,0.9224934036939314,0.9596843369360096,0.9925791556728232
Academic,Graph,43,Heuristic-AdamicAdar,0.7932058047493403,1.0,0.5864116094986808,0.7392931392931393,0.9925791556728232
Academic,Graph,43,Heuristic-PrefAttach,0.7655013192612137,1.0,0.5310026385224275,0.6936665230504093,0.8652900830020678
Academic,Graph,43,DeepWalk+LR,0.9902704485488126,0.9933620975771656,0.9871372031662269,0.9902398676592225,0.9945808909016228
Academic,Graph,43,Node2Vec+LR,0.9868073878627969,0.985207100591716,0.9884564643799473,0.9868291076720448,0.9949541086806691
Academic,Graph,44,Heuristic-LR,0.9906002638522428,1.0,0.9812005277044855,0.9905110704178458,0.9995517796973009
Academic,Graph,44,Heuristic-CN,0.7664907651715039,1.0,0.5329815303430079,0.6953528399311532,0.9929089709762533
Academic,Graph,44,Heuristic-Jaccard,0.9604221635883905,1.0,0.920844327176781,0.9587912087912088,0.9929089709762533
Academic,Graph,44,Heuristic-AdamicAdar,0.7973284960422163,1.0,0.5946569920844327,0.7458117890382626,0.9929089709762533
Academic,Graph,44,Heuristic-PrefAttach,0.7663258575197889,0.9993815708101422,0.5329815303430079,0.695203269520327,0.8630327191574829
Academic,Graph,44,DeepWalk+LR,0.9868073878627969,0.9897146648971467,0.9838390501319261,0.9867681111478663,0.9930538634512429
Academic,Graph,44,Node2Vec+LR,0.987302110817942,0.9910269192422732,0.9835092348284961,0.9872537659327926,0.9926988116206376
Academic,Graph,45,Heuristic-LR,0.9901055408970977,1.0,0.9802110817941952,0.9900066622251832,0.9988726778043873
Academic,Graph,45,Heuristic-CN,0.7674802110817942,1.0,0.5349604221635884,0.6970348087666524,0.991424802110818
Academic,Graph,45,Heuristic-Jaccard,0.962730870712401,1.0,0.9254617414248021,0.9612881123672491,0.991424802110818
Academic,Graph,45,Heuristic-AdamicAdar,0.7991424802110818,1.0,0.5982849604221636,0.7486586875773834,0.991424802110818
Academic,Graph,45,Heuristic-PrefAttach,0.7674802110817942,1.0,0.5349604221635884,0.6970348087666524,0.8659919195250659
Academic,Graph,45,DeepWalk+LR,0.9887862796833773,0.9913793103448276,0.9861477572559367,0.9887566137566137,0.9939024416775155
Academic,Graph,45,Node2Vec+LR,0.9892810026385225,0.9913878767803909,0.9871372031662269,0.9892579738886135,0.9946164613515639
Academic,Graph,46,Heuristic-LR,0.9930738786279684,0.9993319973279893,0.9868073878627969,0.9930302024560239,0.9997244105965566
Academic,Graph,46,Heuristic-CN,0.762697889182058,1.0,0.5253957783641161,0.6888648648648649,0.993787408800412
Academic,Graph,46,Heuristic-Jaccard,0.9632255936675461,0.9996442547136251,0.9267810026385225,0.9618346739688516,0.9938293971602814
Academic,Graph,46,Heuristic-AdamicAdar,0.7950197889182058,1.0,0.5900395778364116,0.7421696743414229,0.9938846564525448
Academic,Graph,46,Heuristic-PrefAttach,0.7623680738786279,0.9987460815047022,0.5253957783641161,0.688567106116274,0.8593668416399218
Academic,Graph,46,DeepWalk+LR,0.9858179419525066,0.9900199600798403,0.9815303430079155,0.9857568731368003,0.9918531704039933
Academic,Graph,46,Node2Vec+LR,0.9889511873350924,0.9926886008640744,0.9851583113456465,0.9889091210064559,0.992920719014766
