Task,Seed,Model,Accuracy,Precision,Recall,F1-Score,AUC
Diabetes,42,LR,0.7207792207792207,0.6222222222222222,0.5185185185185185,0.5656565656565656,0.8214814814814815
Diabetes,42,RF,0.7402597402597403,0.6346153846153846,0.6111111111111112,0.6226415094339622,0.8175925925925925
Diabetes,42,XGBoost,0.7467532467532467,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.8183333333333334
Diabetes,42,LightGBM,0.7402597402597403,0.64,0.5925925925925926,0.6153846153846154,0.8098148148148148
Diabetes,43,LR,0.8051948051948052,0.75,0.6666666666666666,0.7058823529411765,0.8859259259259259
Diabetes,43,RF,0.8051948051948052,0.7857142857142857,0.6111111111111112,0.6875,0.8689814814814815
Diabetes,43,XGBoost,0.8181818181818182,0.8095238095238095,0.6296296296296297,0.7083333333333334,0.8555555555555556
Diabetes,43,LightGBM,0.7727272727272727,0.7209302325581395,0.5740740740740741,0.6391752577319587,0.8422222222222222
Diabetes,44,LR,0.7662337662337663,0.725,0.5370370370370371,0.6170212765957447,0.8192592592592592
Diabetes,44,RF,0.7467532467532467,0.7027027027027027,0.48148148148148145,0.5714285714285714,0.8121296296296296
Diabetes,44,XGBoost,0.7402597402597403,0.6590909090909091,0.5370370370370371,0.5918367346938775,0.7835185185185185
Diabetes,44,LightGBM,0.7402597402597403,0.6666666666666666,0.5185185185185185,0.5833333333333334,0.7981481481481482
Diabetes,45,LR,0.7792207792207793,0.7631578947368421,0.5370370370370371,0.6304347826086957,0.8511111111111112
Diabetes,45,RF,0.7727272727272727,0.7317073170731707,0.5555555555555556,0.631578947368421,0.835925925925926
Diabetes,45,XGBoost,0.7337662337662337,0.6326530612244898,0.5740740740740741,0.6019417475728155,0.787962962962963
Diabetes,45,LightGBM,0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653,0.7874074074074074
Diabetes,46,LR,0.8116883116883117,0.8048780487804879,0.6111111111111112,0.6947368421052632,0.8564814814814815
Diabetes,46,RF,0.8116883116883117,0.7659574468085106,0.6666666666666666,0.7128712871287128,0.8608333333333333
Diabetes,46,XGBoost,0.7597402597402597,0.660377358490566,0.6481481481481481,0.6542056074766355,0.8403703703703704
Diabetes,46,LightGBM,0.7922077922077922,0.7291666666666666,0.6481481481481481,0.6862745098039216,0.825925925925926
